AGE,CITY_NAME,COUNTRY,DATE_OF_ENTRY,ENTRY_SEQUENCE,FIRST_NAME,ISO3166,LAST_NAME,PASSPORT_NUMBER,REGION
67,Treeside,Spain,1986-5-26,402,Angelo,ESP,Costas,39445840,West
1,Overdale,Philippines,2001-9-30,914,Anton,PHL,Dunbar,19825897230,Central
62,Treeside,Turkey,1973-6-17,471,Barney,TUR,Odroglu,79121341347,West
39,Newtown,Malaysia,2000-7-9,844,James,MYS,Saravanamuthu,7473029209,North
3,Bywater,Norway,2000-5-28,423,Ken,NOR,Gretzinger,656147669,North
36,Dimrill,Iceland,1967-12-2,887,Hallgerd,ISL,Olafsdottir,28099845951,West
66,Newtown,Canada,1942-2-3,180,Mary,CAN,Roe,83720662,North
35,Beruna,France,1999-6-27,173,Simone,FRA,Brillot,037571555,Central
2,Dimrill,Austria,2000-5-28,526,Karl,AUT,Fleischmann,63830250734,West
28,Treeside,Belgium,2001-11-20,830,Jacques,BEL,DesJarlais,323517700,West
63,Overdale,Australia,1956-7-28,942,Kevin,AUS,Cooper,79728257,Central
38,Treeside,Brazil,1966-3-25,642,Paolo,BRA,Terranova,3977447744,West
